# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Lite Edition
# File: E:\nutcloud\data\fudan\FPGA\Processor_pj\fibonacci\fibonacci.csv
# Generated on: Sun Dec 20 23:35:28 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
FL_ADDR[0],Unknown,PIN_AG12,3,B3_N0,,3.3-V LVTTL,,,,,
FL_CE_N,Unknown,PIN_AG7,3,B3_N2,,3.3-V LVTTL,,,,,
FL_DQ[7],Unknown,PIN_AF12,3,B3_N1,,3.3-V LVTTL,,,,,
FL_DQ[6],Unknown,PIN_AH11,3,B3_N0,,3.3-V LVTTL,,,,,
FL_DQ[5],Unknown,PIN_AG11,3,B3_N0,,3.3-V LVTTL,,,,,
FL_DQ[4],Unknown,PIN_AF11,3,B3_N1,,3.3-V LVTTL,,,,,
FL_DQ[3],Unknown,PIN_AH10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_DQ[2],Unknown,PIN_AG10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_DQ[1],Unknown,PIN_AF10,3,B3_N1,,3.3-V LVTTL,,,,,
FL_DQ[0],Unknown,PIN_AH8,3,B3_N1,,3.3-V LVTTL,,,,,
FL_OE_N,Unknown,PIN_AG8,3,B3_N1,,3.3-V LVTTL,,,,,
FL_RST_N,Unknown,PIN_AE11,3,B3_N1,,3.3-V LVTTL,,,,,
FL_RY,Unknown,PIN_Y1,2,B2_N0,,3.3-V LVTTL,,,,,
FL_WE_N,Unknown,PIN_AC10,3,B3_N0,,3.3-V LVTTL,,,,,
FL_WP_N,Unknown,PIN_AE12,3,B3_N1,,3.3-V LVTTL,,,,,
GPIO[35],Unknown,PIN_AG26,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[34],Unknown,PIN_AH23,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[33],Unknown,PIN_AH26,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[32],Unknown,PIN_AF20,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[31],Unknown,PIN_AG23,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[30],Unknown,PIN_AE20,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[29],Unknown,PIN_AF26,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[28],Unknown,PIN_AH22,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[27],Unknown,PIN_AE24,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[26],Unknown,PIN_AG22,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[25],Unknown,PIN_AE25,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[24],Unknown,PIN_AH25,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[23],Unknown,PIN_AD25,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[22],Unknown,PIN_AG25,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[21],Unknown,PIN_AD22,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[20],Unknown,PIN_AF22,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[19],Unknown,PIN_AF21,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[18],Unknown,PIN_AE22,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[17],Unknown,PIN_AC22,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[16],Unknown,PIN_AF25,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[15],Unknown,PIN_AE21,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[14],Unknown,PIN_AF24,4,B4_N1,,3.3-V LVTTL,,,,,
GPIO[13],Unknown,PIN_AF15,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[12],Unknown,PIN_AD19,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[11],Unknown,PIN_AF16,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[10],Unknown,PIN_AC19,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[9],Unknown,PIN_AE15,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[8],Unknown,PIN_AD15,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[7],Unknown,PIN_AE16,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[6],Unknown,PIN_AD21,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[5],Unknown,PIN_Y16,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[4],Unknown,PIN_AC21,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[3],Unknown,PIN_Y17,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[2],Unknown,PIN_AB21,4,B4_N0,,3.3-V LVTTL,,,,,
GPIO[1],Unknown,PIN_AC15,4,B4_N2,,3.3-V LVTTL,,,,,
GPIO[0],Unknown,PIN_AB22,4,B4_N0,,3.3-V LVTTL,,,,,
HEX0[6],Unknown,PIN_H22,6,B6_N0,,2.5 V,,,,,
HEX0[5],Unknown,PIN_J22,6,B6_N0,,2.5 V,,,,,
HEX0[4],Unknown,PIN_L25,6,B6_N1,,2.5 V,,,,,
HEX0[3],Unknown,PIN_L26,6,B6_N1,,2.5 V,,,,,
HEX0[2],Unknown,PIN_E17,7,B7_N2,,2.5 V,,,,,
HEX0[1],Unknown,PIN_F22,7,B7_N0,,2.5 V,,,,,
HEX0[0],Unknown,PIN_G18,7,B7_N2,,2.5 V,,,,,
HEX1[6],Unknown,PIN_U24,5,B5_N0,,2.5 V,,,,,
HEX1[5],Unknown,PIN_U23,5,B5_N1,,2.5 V,,,,,
HEX1[4],Unknown,PIN_W25,5,B5_N1,,2.5 V,,,,,
HEX1[3],Unknown,PIN_W22,5,B5_N0,,2.5 V,,,,,
HEX1[2],Unknown,PIN_W21,5,B5_N1,,2.5 V,,,,,
HEX1[1],Unknown,PIN_Y22,5,B5_N0,,2.5 V,,,,,
HEX1[0],Unknown,PIN_M24,6,B6_N2,,2.5 V,,,,,
HEX2[6],Unknown,PIN_W28,5,B5_N1,,2.5 V,,,,,
HEX2[5],Unknown,PIN_W27,5,B5_N1,,2.5 V,,,,,
HEX2[4],Unknown,PIN_Y26,5,B5_N1,,2.5 V,,,,,
HEX2[3],Unknown,PIN_W26,5,B5_N1,,2.5 V,,,,,
HEX2[2],Unknown,PIN_Y25,5,B5_N1,,2.5 V,,,,,
HEX2[1],Unknown,PIN_AA26,5,B5_N1,,2.5 V,,,,,
HEX2[0],Unknown,PIN_AA25,5,B5_N1,,2.5 V,,,,,
HEX3[6],Unknown,PIN_Y19,4,B4_N0,,3.3-V LVTTL,,,,,
HEX3[5],Unknown,PIN_AF23,4,B4_N0,,3.3-V LVTTL,,,,,
HEX3[4],Unknown,PIN_AD24,4,B4_N0,,3.3-V LVTTL,,,,,
HEX3[3],Unknown,PIN_AA21,4,B4_N0,,3.3-V LVTTL,,,,,
HEX3[2],Unknown,PIN_AB20,4,B4_N0,,3.3-V LVTTL,,,,,
HEX3[1],Unknown,PIN_U21,5,B5_N0,,2.5 V,,,,,
HEX3[0],Unknown,PIN_V21,5,B5_N1,,2.5 V,,,,,
HEX4[6],Unknown,PIN_AE18,4,B4_N2,,3.3-V LVTTL,,,,,
HEX4[5],Unknown,PIN_AF19,4,B4_N1,,3.3-V LVTTL,,,,,
HEX4[4],Unknown,PIN_AE19,4,B4_N1,,3.3-V LVTTL,,,,,
HEX4[3],Unknown,PIN_AH21,4,B4_N2,,3.3-V LVTTL,,,,,
HEX4[2],Unknown,PIN_AG21,4,B4_N2,,3.3-V LVTTL,,,,,
HEX4[1],Unknown,PIN_AA19,4,B4_N0,,3.3-V LVTTL,,,,,
HEX4[0],Unknown,PIN_AB19,4,B4_N0,,3.3-V LVTTL,,,,,
HEX5[6],Unknown,PIN_AH18,4,B4_N2,,3.3-V LVTTL,,,,,
HEX5[5],Unknown,PIN_AF18,4,B4_N1,,3.3-V LVTTL,,,,,
HEX5[4],Unknown,PIN_AG19,4,B4_N2,,3.3-V LVTTL,,,,,
HEX5[3],Unknown,PIN_AH19,4,B4_N2,,3.3-V LVTTL,,,,,
HEX5[2],Unknown,PIN_AB18,4,B4_N0,,3.3-V LVTTL,,,,,
HEX5[1],Unknown,PIN_AC18,4,B4_N1,,3.3-V LVTTL,,,,,
HEX5[0],Unknown,PIN_AD18,4,B4_N1,,3.3-V LVTTL,,,,,
HEX6[6],Unknown,PIN_AC17,4,B4_N2,,3.3-V LVTTL,,,,,
HEX6[5],Unknown,PIN_AA15,4,B4_N2,,3.3-V LVTTL,,,,,
HEX6[4],Unknown,PIN_AB15,4,B4_N2,,3.3-V LVTTL,,,,,
HEX6[3],Unknown,PIN_AB17,4,B4_N1,,3.3-V LVTTL,,,,,
HEX6[2],Unknown,PIN_AA16,4,B4_N2,,3.3-V LVTTL,,,,,
HEX6[1],Unknown,PIN_AB16,4,B4_N2,,3.3-V LVTTL,,,,,
HEX6[0],Unknown,PIN_AA17,4,B4_N1,,3.3-V LVTTL,,,,,
HEX7[6],Unknown,PIN_AA14,3,B3_N0,,3.3-V LVTTL,,,,,
HEX7[5],Unknown,PIN_AG18,4,B4_N2,,3.3-V LVTTL,,,,,
HEX7[4],Unknown,PIN_AF17,4,B4_N2,,3.3-V LVTTL,,,,,
HEX7[3],Unknown,PIN_AH17,4,B4_N2,,3.3-V LVTTL,,,,,
HEX7[2],Unknown,PIN_AG17,4,B4_N2,,3.3-V LVTTL,,,,,
HEX7[1],Unknown,PIN_AE17,4,B4_N2,,3.3-V LVTTL,,,,,
HEX7[0],Unknown,PIN_AD17,4,B4_N2,,3.3-V LVTTL,,,,,
HSMC_CLKIN0,Unknown,PIN_AH15,4,B4_N2,,3.0-V LVTTL,,,,,
HSMC_CLKIN_P1,Unknown,PIN_J27,6,B6_N2,,LVDS,,,,HSMC_CLKIN_N1,
HSMC_CLKIN_P2,Unknown,PIN_Y27,5,B5_N0,,LVDS,,,,HSMC_CLKIN_N2,
HSMC_CLKOUT0,Unknown,PIN_AD28,5,B5_N2,,2.5 V,,,,,
HSMC_CLKOUT_P1,Unknown,PIN_G23,6,B6_N0,,LVDS,,,,HSMC_CLKOUT_N1,
HSMC_CLKOUT_P2,Unknown,PIN_V23,5,B5_N1,,LVDS,,,,HSMC_CLKOUT_N2,
HSMC_D[3],Unknown,PIN_AF27,5,B5_N2,,2.5 V,,,,,
HSMC_D[2],Unknown,PIN_AE27,5,B5_N2,,2.5 V,,,,,
HSMC_D[1],Unknown,PIN_AE28,5,B5_N2,,2.5 V,,,,,
HSMC_D[0],Unknown,PIN_AE26,5,B5_N2,,2.5 V,,,,,
HSMC_RX_D_P[16],Unknown,PIN_T21,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[16],
HSMC_RX_D_P[15],Unknown,PIN_R22,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[15],
HSMC_RX_D_P[14],Unknown,PIN_P21,5,B5_N0,,LVDS,,,,HSMC_RX_D_N[14],
HSMC_RX_D_P[13],Unknown,PIN_P25,6,B6_N2,,LVDS,,,,HSMC_RX_D_N[13],
